,deal_id,label_id
0,4695,56
1,4695,261
2,4023,56
3,4161,56
4,4206,261
5,4276,261
6,4288,56
7,4289,56
8,4291,56
9,4388,261
10,4392,56
11,4410,301
12,4411,261
13,4413,261
14,4414,56
15,4421,56
16,4422,56
17,4426,56
18,4434,56
19,4435,56
20,4445,56
21,4447,56
22,4448,56
23,4457,56
24,4458,302
25,4460,56
26,4476,56
27,4489,56
28,4500,261
29,4514,56
30,4599,56
31,4606,56
32,4607,56
33,4609,301
34,4610,301
35,4621,56
36,4656,261
37,4671,56
38,4695,56
39,4695,261
40,4700,301
41,4707,56
42,4733,301
43,4746,301
44,4747,301
45,4755,261
46,4759,301
47,4765,301
48,4765,404
49,4772,261
50,4777,56
51,4782,56
52,4783,56
53,4784,301
54,4786,301
55,4787,301
56,4788,301
57,4790,301
58,4792,261
59,4804,301
60,4805,301
61,4818,301
62,4825,301
63,4832,301
64,4836,301
65,4837,301
66,4838,301
67,4840,301
68,4841,56
69,4854,301
70,4855,56
71,4860,261
72,4861,301
73,4877,261
74,4879,261
75,4881,56
76,4881,261
77,4882,56
78,4887,302
79,4888,301
80,4889,301
81,4892,261
82,4893,56
83,4896,261
84,4906,261
85,4924,301
86,4926,56
87,4936,56
88,4937,302
89,4943,56
90,4943,261
91,4945,261
92,4948,301
93,4957,56
94,4960,301
95,4961,301
96,4965,261
97,4966,261
98,4971,56
99,4972,56
100,4973,56
101,4974,56
102,4990,56
103,4993,56
104,4993,261
105,4994,301
106,4995,302
107,4996,301
108,5001,56
109,5006,404
110,5007,404
111,5012,56
112,5019,56
113,5042,404
114,5043,261
115,5048,261
116,5053,301
117,5065,261
118,5066,261
119,5069,301
120,5070,302
121,5071,301
122,5073,301
123,5076,261
124,5089,301
125,5090,301
126,5113,301
127,5125,301
128,5126,301
129,5130,261
130,5131,261
131,5135,261
132,5136,56
133,5150,301
134,5154,301
135,5162,261
136,5174,261
137,5183,301
138,5184,302
139,5187,261
140,5188,261
